Problem type,Algorithm,Dimension,Iterations,Converged,Residue,Abs error
Random,Gauss,3,1,True,2.220446049250313e-16,3.8459253727671276e-16
Hilbert,Gauss,3,1,True,2.220446049250313e-16,1.3907509956813866e-14
Hilbert,Seidel,3,719,True,2.1595423162422866e-09,5.066193118626053e-07
DiagDominant,Gauss,3,1,True,2.5121479338940403e-15,2.220446049250313e-16
DiagDominant,Jacobi,3,32,True,2.979561025352933e-08,2.513990150108481e-09
DiagDominant,Seidel,3,18,True,2.931070123631706e-08,2.1312241504652867e-09
Random,Gauss,4,1,True,1.3322676295501878e-15,5.438959822042073e-16
Hilbert,Gauss,4,1,True,0.0,1.915587763607436e-13
Hilbert,Seidel,4,9960,True,1.3223374331237702e-09,1.0295831946706332e-05
DiagDominant,Gauss,4,1,True,3.552713678800501e-15,3.1401849173675503e-16
DiagDominant,Jacobi,4,20,True,2.4288836555925224e-08,2.1281699355064305e-09
DiagDominant,Seidel,4,13,True,1.4499241472396778e-08,1.2331801105927528e-09
Random,Gauss,5,1,True,4.165926057296536e-15,5.661048867003676e-16
Hilbert,Gauss,5,1,True,2.220446049250313e-16,2.8259920464149867e-11
Hilbert,Seidel,5,10000,False,1.140478740502116e-07,0.0282545122009696
DiagDominant,Gauss,5,1,True,0.0,2.220446049250313e-16
DiagDominant,Jacobi,5,31,True,4.8482151821973116e-08,5.955136036498147e-09
DiagDominant,Seidel,5,14,True,7.957576564654973e-09,6.308330459913273e-10
Random,Gauss,6,1,True,3.3232593448441795e-15,3.575193960459936e-15
Hilbert,Gauss,6,1,True,1.1102230246251565e-16,5.580097764337494e-10
Hilbert,Seidel,6,10000,False,3.3809467255890854e-07,0.02073720936161015
DiagDominant,Gauss,6,1,True,1.7763568394002505e-15,1.1102230246251565e-16
DiagDominant,Jacobi,6,24,True,3.8698171339613915e-08,2.7318166940904256e-09
DiagDominant,Seidel,6,13,True,1.4847638291007128e-08,7.6986099425001e-10
Random,Gauss,7,1,True,2.7012892057857038e-15,1.2755491433176288e-15
Hilbert,Gauss,7,1,True,0.0,1.9455430470598184e-08
Hilbert,Seidel,7,10000,False,2.2101621562348402e-07,0.020487009268982077
DiagDominant,Gauss,7,1,True,1.0950198975068616e-14,6.753223014464259e-16
DiagDominant,Jacobi,7,25,True,4.728773983774642e-08,3.26940259314827e-09
DiagDominant,Seidel,7,17,True,3.380975848458974e-08,1.2078811146083373e-09
Random,Gauss,8,1,True,2.808666774861361e-15,7.911038265281104e-14
Hilbert,Gauss,8,1,True,4.1540741810552243e-16,9.278194132046186e-07
Hilbert,Seidel,8,10000,False,5.443130062836651e-08,0.032323821867325575
DiagDominant,Gauss,8,1,True,9.565974336450906e-15,5.551115123125783e-16
DiagDominant,Jacobi,8,22,True,5.2732918469031544e-08,4.3036677855210835e-09
DiagDominant,Seidel,8,12,True,1.6324416278619006e-08,9.052915432195081e-10
Random,Gauss,9,1,True,9.101120538054984e-15,6.298987088595124e-15
Hilbert,Gauss,9,1,True,2.220446049250313e-16,1.6306878161480958e-05
Hilbert,Seidel,9,10000,False,1.5052624058100338e-07,0.04065095117677353
DiagDominant,Gauss,9,1,True,1.5587468005037626e-14,5.20740757162067e-16
DiagDominant,Jacobi,9,19,True,7.089533174532324e-08,2.3392624773795513e-09
DiagDominant,Seidel,9,12,True,2.8461153265942403e-08,1.5568324649941355e-09
Random,Gauss,10,1,True,6.796886549149213e-15,3.2292034762291225e-15
Hilbert,Gauss,10,1,True,1.5700924586837752e-16,0.0009592575957768846
Hilbert,Seidel,10,10000,False,3.0029529572304605e-07,0.04358236611879924
DiagDominant,Gauss,10,1,True,2.5184204728315197e-14,9.28879225241625e-16
DiagDominant,Jacobi,10,18,True,3.3236798433321155e-08,9.170009301668623e-10
DiagDominant,Seidel,10,11,True,9.502129427306218e-09,3.7155965676298247e-10
Random,Gauss,11,1,True,8.43769498715119e-15,6.631238611927272e-14
Hilbert,Gauss,11,1,True,4.577566798522237e-16,0.010185358697704034
Hilbert,Seidel,11,10000,False,4.6272140624885216e-07,0.04139647924048642
DiagDominant,Gauss,11,1,True,1.5987211554602254e-14,5.20740757162067e-16
DiagDominant,Jacobi,11,17,True,4.9832066289804336e-08,1.7023392472414136e-09
DiagDominant,Seidel,11,11,True,1.492815315723944e-08,6.124550103393985e-10
Random,Gauss,12,1,True,9.61737704039743e-15,1.2362920382602608e-15
Hilbert,Gauss,12,1,True,2.482534153247273e-16,0.4407747350549442
Hilbert,Seidel,12,10000,False,5.851859987870396e-07,0.036932330245931316
DiagDominant,Gauss,12,1,True,2.6822400070865448e-14,6.473657049138938e-16
DiagDominant,Jacobi,12,17,True,4.861203211448798e-08,1.5071031467572231e-09
DiagDominant,Seidel,12,11,True,2.3082078554962437e-08,7.985674034989329e-10
Random,Gauss,13,1,True,1.2436480258895385e-14,2.2370374086044682e-15
Hilbert,Gauss,13,1,False,,
Hilbert,Seidel,13,10000,False,6.244081473399028e-07,0.03487569200577775
DiagDominant,Gauss,13,1,True,2.7519201823675253e-14,1.0590852655056278e-15
DiagDominant,Jacobi,13,18,True,5.2938934070436554e-08,1.7727512670127284e-09
DiagDominant,Seidel,13,12,True,2.6781184497453985e-08,8.051665648712834e-10
